goods_id(商品ID),cat_id(商品类型ID),goods_sn(商品编号),goods_name(商品名称),click_count(商品浏览人次),goods_high(商品亮点),,market_price(市场价格),shop_price(售价),promote_price(促销价)
329,13,Pechoin000329,百雀羚 气韵草本莹润水漾卓颜霜40g  遮瑕美白保湿隔离bb霜 适合暗黄肌 提亮肤色 ,3824,,845,168,118,118
330,5,Pechoin000330,百雀羚喷雾花露水190ml 【冰清薄荷】祛痱止痒 驱蚊草本 2018年到期,4476,,866,25,18,0
336,68,Pechoin000336,百雀羚 肌初赋活抗皱菁华霜50g 送:肌初赋活氨基酸净颜洁面乳40g一支   改善松驰 抚平细纹 紧致抗皱提拉补水霜,17719,双十一特惠,710,238,196,0
341,76,Pechoin000341,百雀羚肌初赋活致臻套装（水+乳+霜+眼霜）礼盒 双11特惠  送：百雀羚三生花洗护一套（75ml*2）+百雀羚面膜4片+三生花洁面100g一支（随机）+帧颜淡纹霜8g 淡化细纹干纹抗皱深度补水保湿 专柜正品,153251,保价双11,1956,618,468,468
593,74,Pechoin000593,百雀羚草本雀栖宫窗御藏礼盒 东方大美肌初赋活精华液面膜紧致抗皱 送礼佳品,14371,,865,618,168,168
331,40,Pechoin000331,百雀羚 三生花玲珑玉润卸妆洁面+醒肤水+菁华乳3件套装 补水保湿滋润化妆品  赠品如有小变动不另行通知哦,15057,,817,428,348,348
332,76,Pechoin000332,百雀羚套装 三生花玫瑰花酿润颜高保湿精华水100ml+三生花玲珑玉润菁华乳70ml 两套装 送：因雀思听面膜2片+百雀羚芦荟护手霜40g一支+ 花瓣水15ml*7支 补水保湿滋润护肤品面部护理化妆品女,5365,双十一特惠款,887,198,99,99
333,40,Pechoin000333,百雀羚三生花控油清肌3件套 送：百雀羚晴雨伞一把+随机面膜2片+洗护一套（洗发露75ml+沐浴露75ml）+随机瓶装2个 清爽控油抗痘祛黑头收缩毛孔补水保湿,16146,买一送七,771,498,355,355
579,43,Pechoin000579,百雀羚三生花清洁提亮黑炭面膜5片 新款 （买一盒送一盒） 范冰冰特荐 黑面膜补水保湿 亮肤美白,8815,买一送一,719,98,72,0
578,36,6666666666,测试编辑测试测试再次测试,2316,爆品,999,98,76,16
334,36,Pechoin000334,百雀羚草本水感透白系列6件套装 (洁面+水+乳+霜+精华+眼霜) 送:面膜1盒+随机甘油 补水保湿提亮肤色,14561,多效美白,846,686,558,558
335,40,Pechoin000335,百雀羚三生花控油清肌2件套装 爽肤水+水凝乳 赠品如有变动不另行通知 清爽控油补水保湿 油性痘痘肌肤,8105,,847,357.59,298,298
337,68,Pechoin000337,百雀羚 肌初赋活紧肤精华水90ml  （特惠）送：百雀羚黑面膜2片+百雀羚洗手液500g一瓶+百雀羚三生花袋包洗发露2包  淡化细纹紧肤 抗皱化妆水爽肤水,21322,买一送五,555,218,188,188
338,68,Pechoin000338,百雀羚 肌初赋活紧肤焕颜乳90ml  送:随机喷雾70ml一瓶+随机面膜2片+随机瓶装一个+粉扑一个 （会员加送百雀羚面膜一片） 淡化细纹干纹提拉紧致 活颜润养 弹力紧致,14817,,805,238,196,0
339,68,Pechoin000339,百雀羚 肌初赋活抚纹精华液30ml 送:随机面膜3片+随机瓶装2个 抗皱紧致滋润减退岁月痕迹  赋活年轻,7134,赠品,721,258,218,0
340,68,Pechoin000340,百雀羚 肌初赋活抚痕眼部精华液20ml 送:喷雾70ml一瓶+随机面膜3片+水能量体验套装一套 紧致提拉改善细纹松弛 娇润紧弹,15431,,705,278,238,0
343,40,Pechoin000343,百雀羚 三生花青春紧弹洁面+焕采凝乳+美容液+滋养霜 化妆品4件套装  紧致提亮 保湿锁水抚平细纹　赠品如有小变动不另行通知,8424,,870,669.6,558,538
344,40,Pechoin000344,百雀羚 三生花青春紧弹洁面+焕采凝乳+美容液+滋养霜+眼霜 化妆品5件套装  紧致保湿 抚纹赠品如有小变动不另行通知  ,3807,,882,873.6,728,0
345,40,Pechoin000345,百雀羚 三生花舒缓细肤调理水+润凝乳 2件套装 修护舒缓敏感 赠品如有小更换不另行通知,8919,敏感肌专用,855,345.59,288,288
346,40,Pechoin000346,百雀羚 三生花舒缓细肤洁面泡沫+调理水+润凝乳+柔护霜 赠品如有小更换不另行通知 4件套装 修护舒缓敏感,8603,敏感肌专用 修护肌肤,870,698,525,525
347,40,Pechoin000347,百雀羚 三生花舒缓细肤洁面泡沫+调理水+润凝乳+柔护霜+沁肌精华液 5件套装  送随机赠品如有小更换不另行通知 修护舒缓敏感肌肤,9860,,828,899,688,688
348,40,Pechoin000348,百雀羚三生花控油清肌4件套装 （特惠活动期间下载APP会员加送泥浆面膜一个） 洁面+水+乳+霜  为内油外干皮肤定制 持久清爽清肌控油 赠品如有小变动不另行通知,10243,,848,598.8,499,499
349,40,Pechoin000349,百雀羚三生花控油清肌4件套装 洁面+水+乳+CC霜 赠品如有变动不另行通知 清爽补水保湿控油油性痘痘肌护肤品,10028,,849,598,458,458
352,43,Pechoin000352,新品上新 百雀羚小雀幸静润补水保湿面膜贴20片  买就送5片百雀羚面膜 买两组加送晴雨伞一把 新老包装随机发 补水保湿滋润海藻蚕丝面膜 新老包装随机发,17698,买一送五,290,240,128,128
350,40,Pechoin000350,百雀羚 三生花玲珑玉润醒肤水+菁华乳 2件套装  送：体验套装一套+随机面膜2片 保湿补水滋养化妆品护肤品,9342,,864,345.59,288,278
351,40,Pechoin000351,百雀羚 三生花玲珑玉润洁面+水+乳+水凝霜4件套 保湿补水滋养 赠品如有小变动不另行通知,8966,,860,656,536,528
353,37,Pechoin000353,百雀羚气韵草本水养嫩肤保湿礼盒  套装5件组合女士补水保湿正品,11128,,844,357.59,298,298
354,74,Pechoin000354,百雀羚三生花玲珑玉润气垫悦容霜13g （亮肤色） 送：百雀羚保湿面膜一片+百雀羚瓶装小样2个 中秋特惠 保湿滋润遮瑕修颜裸妆,5622,,794,199,118,118
617,76,Pechoin000617,百雀羚帧颜淡纹修护精华液30ml 送：帧颜精华液10ml*3支+礼袋一个  2瓶加送：百雀羚菁萃原液面膜5片装一盒  面部精华抗皱紧致收缩毛孔抗衰老 王一博代言新品,287,买一送四,887,388,368,368
